lambda,zeta
400,0
420,0
440,0
460,0
480,0
500,0
520,0
540,0
560,0
580,0
600,0
620,0
640,0
660,0
680,0
700,0
720,0
740,0
760,1
780,2
800,7
820,35
840,70
860,85
880,90
900,91
920,92
940,92
960,92
980,92
1000,92
1020,92
1040,92
1060,92
1080,92
1100,92
