lambda,zeta
350,0
360,0
370,0
380,0
390,10
400,90
410,94
420,96
430,96
440,96
450,96
460,96
470,96
480,96
490,96
500,96
510,96
520,96
530,98
540,98
550,98
560,98
570,98
580,98
590,98
600,98
610,98
620,98
630,98
640,98
650,98
660,98
670,98
680,94
690,60
700,30
710,16
720,10
730,8
740,3
750,2
760,2
770,2
780,2
790,2
800,1
810,0
820,0
830,0
840,0
850,1
860,1
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,1
1000,1
1010,0
1020,0
1030,0
1040,0
1050,0
